initial_epoch,model,dataset,k,accuracy
172,ResNet86,CIFAR10,1,0.944
173,ResNet86,CIFAR10,1,0.944
174,ResNet86,CIFAR10,1,0.9427
175,ResNet86,CIFAR10,1,0.9438
176,ResNet86,CIFAR10,1,0.9445
177,ResNet86,CIFAR10,1,0.945
178,ResNet86,CIFAR10,1,0.9439
179,ResNet86,CIFAR10,1,0.9436
180,ResNet86,CIFAR10,1,0.9437
181,ResNet86,CIFAR10,1,0.9427
182,ResNet86,CIFAR10,1,0.9434
183,ResNet86,CIFAR10,1,0.9428
184,ResNet86,CIFAR10,1,0.9452
185,ResNet86,CIFAR10,1,0.9446
186,ResNet86,CIFAR10,1,0.945
187,ResNet86,CIFAR10,1,0.9442
188,ResNet86,CIFAR10,1,0.9443
189,ResNet86,CIFAR10,1,0.9449
190,ResNet86,CIFAR10,1,0.9443
191,ResNet86,CIFAR10,1,0.9447
192,ResNet86,CIFAR10,1,0.944
193,ResNet86,CIFAR10,1,0.9442
194,ResNet86,CIFAR10,1,0.9448
195,ResNet86,CIFAR10,1,0.9436
196,ResNet86,CIFAR10,1,0.9451
197,ResNet86,CIFAR10,1,0.9439
198,ResNet86,CIFAR10,1,0.9431
199,ResNet86,CIFAR10,1,0.9441
200,ResNet86,CIFAR10,1,0.9441
